Year,Sex,Cohort,State,Drivers,,,,,
2017,Male,Under 16,West Virginia,0,,,,,
2017,Male,Under 16,Wisconsin,0,,,,,
2017,Male,Under 16,Wyoming,0,,,,,
2017,Male,16,Alabama,23637,,,,,
2017,Male,16,Alaska,1352,,,,,
2017,Male,16,Arizona,10913,,,,,
2017,Male,16,Arkansas,7631,,,,,
2017,Male,16,California,34362,,,,,
2017,Male,16,Colorado,9029,,,,,
2017,Male,16,Connecticut,3547,,,,,
2017,Male,16,Delaware,3608,,,,,
2017,Male,16,District of Columbia,0,,,,,
2017,Male,16,Florida,25336,,,,,
2017,Male,16,Georgia,17958,,,,,
2017,Male,16,Hawaii,1026,,,,,
2017,Male,16,Idaho,8309,,,,,
2017,Male,16,Illinois,31407,,,,,
2017,Male,16,Indiana,9758,,,,,
2017,Male,16,Iowa,16653,,,,,
2017,Male,16,Kansas,12213,,,,,
2017,Male,16,Kentucky,9,,,,,
2017,Male,16,Louisiana,12353,,,,,
2017,Male,16,Maine,2235,,,,,
2017,Male,16,Maryland,3698,,,,,
2017,Male,16,Massachusetts,993,,,,,
2017,Male,16,Michigan,23431,,,,,
2017,Male,16,Minnesota,12736,,,,,
2017,Male,16,Mississippi,10537,,,,,
2017,Male,16,Missouri,16895,,,,,
2017,Male,16,Montana,3418,,,,,
2017,Male,16,Nebraska,7439,,,,,
2017,Male,16,Nevada,2642,,,,,
2017,Male,16,New Hampshire,3289,,,,,
2017,Male,16,New Jersey,70,,,,,
2017,Male,16,New Mexico,3944,,,,,
2017,Male,16,New York,6125,,,,,
2017,Male,16,North Carolina,3902,,,,,
2017,Male,16,North Dakota,2521,,,,,
2017,Male,16,Ohio,25146,,,,,
2017,Male,16,Oklahoma,15025,,,,,
2017,Male,16,Oregon,7273,,,,,
2017,Male,16,Pennsylvania,8589,,,,,
2017,Male,16,Rhode Island,0,,,,,
2017,Male,16,South Carolina,19699,,,,,
2017,Male,16,South Dakota,3990,,,,,
2017,Male,16,Tennessee,24655,,,,,
2017,Male,16,Texas,40750,,,,,
2017,Male,16,Utah,12223,,,,,
2017,Male,16,Vermont,1235,,,,,
2017,Male,16,Virginia,8933,,,,,
2017,Male,16,Washington,14921,,,,,
2017,Male,16,West Virginia,8693,,,,,
2017,Male,16,Wisconsin,18051,,,,,
2017,Male,16,Wyoming,2149,,,,,
2017,Male,17,Alabama,27534,,,,,
2017,Male,17,Alaska,2180,,,,,
2017,Male,17,Arizona,19716,,,,,
2017,Male,17,Arkansas,14112,,,,,
2017,Male,17,California,79244,,,,,
2017,Male,17,Colorado,18080,,,,,
2017,Male,17,Connecticut,11385,,,,,
2017,Male,17,Delaware,4548,,,,,
2017,Male,17,District of Columbia,0,,,,,
2017,Male,17,Florida,50250,,,,,
2017,Male,17,Georgia,33523,,,,,
2017,Male,17,Hawaii,2548,,,,,
2017,Male,17,Idaho,9762,,,,,
2017,Male,17,Illinois,49756,,,,,
2017,Male,17,Indiana,24220,,,,,
2017,Male,17,Iowa,17369,,,,,
2017,Male,17,Kansas,14730,,,,,
2017,Male,17,Kentucky,5553,,,,,
2017,Male,17,Louisiana,17048,,,,,
2017,Male,17,Maine,4323,,,,,
2017,Male,17,Maryland,15766,,,,,
2017,Male,17,Massachusetts,17143,,,,,
2017,Male,17,Michigan,35717,,,,,
2017,Male,17,Minnesota,20893,,,,,
2017,Male,17,Mississippi,12948,,,,,
2017,Male,17,Missouri,25222,,,,,
2017,Male,17,Montana,4310,,,,,
2017,Male,17,Nebraska,10281,,,,,
2017,Male,17,Nevada,5611,,,,,
2017,Male,17,New Hampshire,5784,,,,,
2017,Male,17,New Jersey,30290,,,,,
2017,Male,17,New Mexico,6095,,,,,
2017,Male,17,New York,35290,,,,,
2017,Male,17,North Carolina,18277,,,,,
2017,Male,17,North Dakota,3089,,,,,
2017,Male,17,Ohio,41062,,,,,
2017,Male,17,Oklahoma,18749,,,,,
2017,Male,17,Oregon,12050,,,,,
2017,Male,17,Pennsylvania,38584,,,,,
2017,Male,17,Rhode Island,2449,,,,,
2017,Male,17,South Carolina,23654,,,,,
2017,Male,17,South Dakota,4519,,,,,
2017,Male,17,Tennessee,29569,,,,,
2017,Male,17,Texas,73409,,,,,
2017,Male,17,Utah,17528,,,,,
2017,Male,17,Vermont,2298,,,,,
2017,Male,17,Virginia,25679,,,,,
2017,Male,17,Washington,23971,,,,,
2017,Male,17,West Virginia,5774,,,,,
2017,Male,17,Wisconsin,24536,,,,,
2017,Male,17,Wyoming,2643,,,,,
2017,Male,18,Alabama,28899,,,,,
2017,Male,18,Alaska,2924,,,,,
2017,Male,18,Arizona,27965,,,,,
2017,Male,18,Arkansas,17424,,,,,
2017,Male,18,California,142833,,,,,
2017,Male,18,Colorado,24770,,,,,
2017,Male,18,Connecticut,15234,,,,,
2017,Male,18,Delaware,4784,,,,,
2017,Male,18,District of Columbia,94,,,,,
2017,Male,18,Florida,76629,,,,,
2017,Male,18,Georgia,47011,,,,,
2017,Male,18,Hawaii,4119,,,,,
2017,Male,18,Idaho,10174,,,,,
2017,Male,18,Illinois,60832,,,,,
2017,Male,18,Indiana,30498,,,,,
2017,Male,18,Iowa,18013,,,,,
2017,Male,18,Kansas,16437,,,,,
2017,Male,18,Kentucky,12877,,,,,
2017,Male,18,Louisiana,21254,,,,,
2017,Male,18,Maine,5286,,,,,
2017,Male,18,Maryland,22188,,,,,
2017,Male,18,Massachusetts,26542,,,,,
2017,Male,18,Michigan,46392,,,,,
2017,Male,18,Minnesota,23934,,,,,
2017,Male,18,Mississippi,15421,,,,,
2017,Male,18,Missouri,28859,,,,,
2017,Male,18,Montana,5059,,,,,
2017,Male,18,Nebraska,9615,,,,,
2017,Male,18,Nevada,9092,,,,,
2017,Male,18,New Hampshire,6695,,,,,
2017,Male,18,New Jersey,42792,,,,,
2017,Male,18,New Mexico,8354,,,,,
2017,Male,18,New York,50261,,,,,
2017,Male,18,North Carolina,42250,,,,,
2017,Male,18,North Dakota,3635,,,,,
2017,Male,18,Ohio,51046,,,,,
2017,Male,18,Oklahoma,20745,,,,,
2017,Male,18,Oregon,15490,,,,,
2017,Male,18,Pennsylvania,50413,,,,,
2017,Male,18,Rhode Island,3878,,,,,
2017,Male,18,South Carolina,26029,,,,,
2017,Male,18,South Dakota,4841,,,,,
2017,Male,18,Tennessee,34222,,,,,
2017,Male,18,Texas,101540,,,,,
2017,Male,18,Utah,19134,,,,,
2017,Male,18,Vermont,2828,,,,,
2017,Male,18,Virginia,34849,,,,,
2017,Male,18,Washington,30854,,,,,
2017,Male,18,West Virginia,6264,,,,,
2017,Male,18,Wisconsin,27685,,,,,
2017,Male,18,Wyoming,3221,,,,,
2017,Male,19,Alabama,30723,,,,,
2017,Male,19,Alaska,3431,,,,,
2017,Male,19,Arizona,33091,,,,,
2017,Male,19,Arkansas,20056,,,,,
2017,Male,19,California,191465,,,,,
2017,Male,19,Colorado,28391,,,,,
2017,Male,19,Connecticut,16970,,,,,
2017,Male,19,Delaware,5285,,,,,
2017,Male,19,District of Columbia,297,,,,,
2017,Male,19,Florida,93003,,,,,
2017,Male,19,Georgia,53160,,,,,
2017,Male,19,Hawaii,4953,,,,,
2017,Male,19,Idaho,10002,,,,,
2017,Male,19,Illinois,65204,,,,,
2017,Male,19,Indiana,34137,,,,,
2017,Male,19,Iowa,18382,,,,,
2017,Male,19,Kansas,17171,,,,,
2017,Male,19,Kentucky,18797,,,,,
2017,Male,19,Louisiana,22704,,,,,
2017,Male,19,Maine,5883,,,,,
2017,Male,19,Maryland,26100,,,,,
2017,Male,19,Massachusetts,32538,,,,,
2017,Male,19,Michigan,53170,,,,,
2017,Male,19,Minnesota,24470,,,,,
2017,Male,19,Mississippi,16767,,,,,
2017,Male,19,Missouri,31665,,,,,
2017,Male,19,Montana,5470,,,,,
2017,Male,19,Nebraska,10874,,,,,
2017,Male,19,Nevada,11619,,,,,
2017,Male,19,New Hampshire,7464,,,,,
2017,Male,19,New Jersey,46880,,,,,
2017,Male,19,New Mexico,9794,,,,,
2017,Male,19,New York,60140,,,,,
2017,Male,19,North Carolina,50079,,,,,
2017,Male,19,North Dakota,4101,,,,,
2017,Male,19,Ohio,56996,,,,,
2017,Male,19,Oklahoma,21453,,,,,
2017,Male,19,Oregon,17816,,,,,
2017,Male,19,Pennsylvania,57983,,,,,
2017,Male,19,Rhode Island,4814,,,,,
2017,Male,19,South Carolina,27113,,,,,
2017,Male,19,South Dakota,4985,,,,,
2017,Male,19,Tennessee,36911,,,,,
2017,Male,19,Texas,130620,,,,,
2017,Male,19,Utah,20335,,,,,
2017,Male,19,Vermont,3046,,,,,
2017,Male,19,Virginia,39017,,,,,
2017,Male,19,Washington,36718,,,,,
2017,Male,19,West Virginia,6411,,,,,
2017,Male,19,Wisconsin,28386,,,,,
2017,Male,19,Wyoming,3321,,,,,
2017,Male,20,Alabama,31469,,,,,
2017,Male,20,Alaska,3763,,,,,
2017,Male,20,Arizona,35918,,,,,
2017,Male,20,Arkansas,20821,,,,,
2017,Male,20,California,216724,,,,,
2017,Male,20,Colorado,29706,,,,,
2017,Male,20,Connecticut,18460,,,,,
2017,Male,20,Delaware,5451,,,,,
2017,Male,20,District of Columbia,519,,,,,
2017,Male,20,Florida,99766,,,,,
2017,Male,20,Georgia,56474,,,,,
2017,Male,20,Hawaii,5851,,,,,
2017,Male,20,Idaho,9865,,,,,
2017,Male,20,Illinois,66065,,,,,
2017,Male,20,Indiana,35973,,,,,
2017,Male,20,Iowa,18483,,,,,
2017,Male,20,Kansas,17194,,,,,
2017,Male,20,Kentucky,21431,,,,,
2017,Male,20,Louisiana,23520,,,,,
2017,Male,20,Maine,6285,,,,,
2017,Male,20,Maryland,28345,,,,,
2017,Male,20,Massachusetts,36436,,,,,
2017,Male,20,Michigan,56167,,,,,
2017,Male,20,Minnesota,23724,,,,,
2017,Male,20,Mississippi,16681,,,,,
2017,Male,20,Missouri,32541,,,,,
2017,Male,20,Montana,5662,,,,,
2017,Male,20,Nebraska,11751,,,,,
2017,Male,20,Nevada,12684,,,,,
2017,Male,20,New Hampshire,7896,,,,,
2017,Male,20,New Jersey,49619,,,,,
2017,Male,20,New Mexico,10476,,,,,
2017,Male,20,New York,67535,,,,,
2017,Male,20,North Carolina,53552,,,,,
2017,Male,20,North Dakota,4294,,,,,
2017,Male,20,Ohio,59600,,,,,
2017,Male,20,Oklahoma,21315,,,,,
2017,Male,20,Oregon,18364,,,,,
2017,Male,20,Pennsylvania,60252,,,,,
2017,Male,20,Rhode Island,5204,,,,,
2017,Male,20,South Carolina,27720,,,,,
2017,Male,20,South Dakota,4755,,,,,
2017,Male,20,Tennessee,38845,,,,,
2017,Male,20,Texas,140531,,,,,
2017,Male,20,Utah,20524,,,,,
2017,Male,20,Vermont,3277,,,,,
2017,Male,20,Virginia,39306,,,,,
2017,Male,20,Washington,40420,,,,,
2017,Male,20,West Virginia,5870,,,,,
2017,Male,20,Wisconsin,30096,,,,,
2017,Male,20,Wyoming,3363,,,,,
2017,Male,21,Alabama,32688,,,,,
2017,Male,21,Alaska,3649,,,,,
2017,Male,21,Arizona,38561,,,,,
2017,Male,21,Arkansas,20959,,,,,
2017,Male,21,California,228002,,,,,
2017,Male,21,Colorado,29951,,,,,
2017,Male,21,Connecticut,19596,,,,,
2017,Male,21,Delaware,5646,,,,,
2017,Male,21,District of Columbia,711,,,,,
2017,Male,21,Florida,104999,,,,,
2017,Male,21,Georgia,56852,,,,,
2017,Male,21,Hawaii,6486,,,,,
2017,Male,21,Idaho,10028,,,,,
2017,Male,21,Illinois,63953,,,,,
2017,Male,21,Indiana,37839,,,,,
2017,Male,21,Iowa,18810,,,,,
2017,Male,21,Kansas,16047,,,,,
2017,Male,21,Kentucky,21617,,,,,
2017,Male,21,Louisiana,23787,,,,,
2017,Male,21,Maine,6613,,,,,
2017,Male,21,Maryland,30237,,,,,
2017,Male,21,Massachusetts,34351,,,,,
2017,Male,21,Michigan,54606,,,,,
2017,Male,21,Minnesota,26931,,,,,
2017,Male,21,Mississippi,16438,,,,,
2017,Male,21,Missouri,33430,,,,,
2017,Male,21,Montana,5360,,,,,
2017,Male,21,Nebraska,10853,,,,,
2017,Male,21,Nevada,14031,,,,,
2017,Male,21,New Hampshire,7580,,,,,
2017,Male,21,New Jersey,49570,,,,,
2017,Male,21,New Mexico,9438,,,,,
2017,Male,21,New York,71849,,,,,
2017,Male,21,North Carolina,55096,,,,,
2017,Male,21,North Dakota,4667,,,,,
2017,Male,21,Ohio,58936,,,,,
2017,Male,21,Oklahoma,21945,,,,,
2017,Male,21,Oregon,19845,,,,,
2017,Male,21,Pennsylvania,65323,,,,,
2017,Male,21,Rhode Island,5589,,,,,
2017,Male,21,South Carolina,27391,,,,,
2017,Male,21,South Dakota,4609,,,,,
2017,Male,21,Tennessee,37995,,,,,
2017,Male,21,Texas,146345,,,,,
2017,Male,21,Utah,20408,,,,,
2017,Male,21,Vermont,3460,,,,,
2017,Male,21,Virginia,42430,,,,,
2017,Male,21,Washington,41651,,,,,
2017,Male,21,West Virginia,6852,,,,,
2017,Male,21,Wisconsin,31035,,,,,
2017,Male,21,Wyoming,3048,,,,,
2017,Male,22,Alabama,32606,,,,,
2017,Male,22,Alaska,4130,,,,,
2017,Male,22,Arizona,39537,,,,,
2017,Male,22,Arkansas,20233,,,,,
2017,Male,22,California,242041,,,,,
2017,Male,22,Colorado,32010,,,,,
2017,Male,22,Connecticut,19726,,,,,
2017,Male,22,Delaware,5780,,,,,
2017,Male,22,District of Columbia,1256,,,,,
2017,Male,22,Florida,108037,,,,,
2017,Male,22,Georgia,58426,,,,,
2017,Male,22,Hawaii,6642,,,,,
2017,Male,22,Idaho,10422,,,,,
2017,Male,22,Illinois,68714,,,,,
2017,Male,22,Indiana,38376,,,,,
2017,Male,22,Iowa,18796,,,,,
2017,Male,22,Kansas,17089,,,,,
2017,Male,22,Kentucky,24004,,,,,
2017,Male,22,Louisiana,24483,,,,,
2017,Male,22,Maine,6489,,,,,
2017,Male,22,Maryland,31701,,,,,
2017,Male,22,Massachusetts,37550,,,,,
2017,Male,22,Michigan,58864,,,,,
2017,Male,22,Minnesota,24967,,,,,
2017,Male,22,Mississippi,16217,,,,,
2017,Male,22,Missouri,33544,,,,,
2017,Male,22,Montana,5670,,,,,
2017,Male,22,Nebraska,11993,,,,,
2017,Male,22,Nevada,14480,,,,,
2017,Male,22,New Hampshire,8502,,,,,
2017,Male,22,New Jersey,52207,,,,,
2017,Male,22,New Mexico,10977,,,,,
2017,Male,22,New York,78748,,,,,
2017,Male,22,North Carolina,59611,,,,,
2017,Male,22,North Dakota,5153,,,,,
2017,Male,22,Ohio,61934,,,,,
2017,Male,22,Oklahoma,22058,,,,,
2017,Male,22,Oregon,20544,,,,,
2017,Male,22,Pennsylvania,68181,,,,,
2017,Male,22,Rhode Island,5738,,,,,
2017,Male,22,South Carolina,28298,,,,,
2017,Male,22,South Dakota,4960,,,,,
2017,Male,22,Tennessee,40941,,,,,
2017,Male,22,Texas,149768,,,,,
2017,Male,22,Utah,21004,,,,,
2017,Male,22,Vermont,3726,,,,,
2017,Male,22,Virginia,44533,,,,,
2017,Male,22,Washington,44845,,,,,
2017,Male,22,West Virginia,7015,,,,,
2017,Male,22,Wisconsin,32382,,,,,
2017,Male,22,Wyoming,3218,,,,,
2017,Male,23,Alabama,33451,,,,,
2017,Male,23,Alaska,4633,,,,,
2017,Male,23,Arizona,41229,,,,,
2017,Male,23,Arkansas,20397,,,,,
2017,Male,23,California,250155,,,,,
2017,Male,23,Colorado,34716,,,,,
2017,Male,23,Connecticut,21013,,,,,
2017,Male,23,Delaware,6168,,,,,
2017,Male,23,District of Columbia,1885,,,,,
2017,Male,23,Florida,111172,,,,,
2017,Male,23,Georgia,58184,,,,,
2017,Male,23,Hawaii,6706,,,,,
2017,Male,23,Idaho,10691,,,,,
2017,Male,23,Illinois,71003,,,,,
2017,Male,23,Indiana,38805,,,,,
2017,Male,23,Iowa,18347,,,,,
2017,Male,23,Kansas,17627,,,,,
2017,Male,23,Kentucky,25270,,,,,
2017,Male,23,Louisiana,25227,,,,,
2017,Male,23,Maine,6995,,,,,
2017,Male,23,Maryland,33195,,,,,
2017,Male,23,Massachusetts,40211,,,,,
2017,Male,23,Michigan,61616,,,,,
2017,Male,23,Minnesota,22224,,,,,
2017,Male,23,Mississippi,16415,,,,,
2017,Male,23,Missouri,34412,,,,,
2017,Male,23,Montana,6122,,,,,
2017,Male,23,Nebraska,12542,,,,,
2017,Male,23,Nevada,15348,,,,,
2017,Male,23,New Hampshire,9103,,,,,
2017,Male,23,New Jersey,53311,,,,,
2017,Male,23,New Mexico,11554,,,,,
2017,Male,23,New York,83495,,,,,
2017,Male,23,North Carolina,63519,,,,,
2017,Male,23,North Dakota,5652,,,,,
2017,Male,23,Ohio,63203,,,,,
2017,Male,23,Oklahoma,21435,,,,,
2017,Male,23,Oregon,21254,,,,,
2017,Male,23,Pennsylvania,70729,,,,,
2017,Male,23,Rhode Island,5994,,,,,
2017,Male,23,South Carolina,29405,,,,,
2017,Male,23,South Dakota,5133,,,,,
2017,Male,23,Tennessee,43500,,,,,
2017,Male,23,Texas,153555,,,,,
2017,Male,23,Utah,21118,,,,,
2017,Male,23,Vermont,3894,,,,,
2017,Male,23,Virginia,46541,,,,,
2017,Male,23,Washington,47578,,,,,
2017,Male,23,West Virginia,6833,,,,,
2017,Male,23,Wisconsin,34251,,,,,
2017,Male,23,Wyoming,3393,,,,,
2017,Male,24,Alabama,34469,,,,,
2017,Male,24,Alaska,5140,,,,,
2017,Male,24,Arizona,42701,,,,,
2017,Male,24,Arkansas,20917,,,,,
2017,Male,24,California,264636,,,,,
2017,Male,24,Colorado,37591,,,,,
2017,Male,24,Connecticut,20564,,,,,
2017,Male,24,Delaware,6613,,,,,
2017,Male,24,District of Columbia,2711,,,,,
2017,Male,24,Florida,115245,,,,,
2017,Male,24,Georgia,59785,,,,,
2017,Male,24,Hawaii,7034,,,,,
2017,Male,24,Idaho,10421,,,,,
2017,Male,24,Illinois,72881,,,,,
2017,Male,24,Indiana,39994,,,,,
2017,Male,24,Iowa,18875,,,,,
2017,Male,24,Kansas,18000,,,,,
2017,Male,24,Kentucky,26196,,,,,
2017,Male,24,Louisiana,26128,,,,,
2017,Male,24,Maine,7389,,,,,
2017,Male,24,Maryland,35367,,,,,
2017,Male,24,Massachusetts,43365,,,,,
2017,Male,24,Michigan,64033,,,,,
2017,Male,24,Minnesota,21231,,,,,
2017,Male,24,Mississippi,16895,,,,,
2017,Male,24,Missouri,35147,,,,,
2017,Male,24,Montana,6575,,,,,
2017,Male,24,Nebraska,13415,,,,,
2017,Male,24,Nevada,15662,,,,,
2017,Male,24,New Hampshire,9653,,,,,
2017,Male,24,New Jersey,56706,,,,,
2017,Male,24,New Mexico,12577,,,,,
2017,Male,24,New York,90142,,,,,
2017,Male,24,North Carolina,66952,,,,,
2017,Male,24,North Dakota,5857,,,,,
2017,Male,24,Ohio,64836,,,,,
2017,Male,24,Oklahoma,21493,,,,,
2017,Male,24,Oregon,21708,,,,,
2017,Male,24,Pennsylvania,70692,,,,,
2017,Male,24,Rhode Island,6003,,,,,
2017,Male,24,South Carolina,30192,,,,,
2017,Male,24,South Dakota,5293,,,,,
2017,Male,24,Tennessee,45773,,,,,
2017,Male,24,Texas,150150,,,,,
2017,Male,24,Utah,21193,,,,,
2017,Male,24,Vermont,3992,,,,,
2017,Male,24,Virginia,48309,,,,,
2017,Male,24,Washington,51252,,,,,
2017,Male,24,West Virginia,6035,,,,,
2017,Male,24,Wisconsin,35636,,,,,
2017,Male,24,Wyoming,3567,,,,,
2017,Male,25-29,Alabama,172171,,,,,
2017,Male,25-29,Alaska,28135,,,,,
2017,Male,25-29,Arizona,229153,,,,,
2017,Male,25-29,Arkansas,104097,,,,,
2017,Male,25-29,California,1391519,,,,,
2017,Male,25-29,Colorado,215230,,,,,
2017,Male,25-29,Connecticut,112182,,,,,
2017,Male,25-29,Delaware,34413,,,,,
2017,Male,25-29,District of Columbia,27610,,,,,
2017,Male,25-29,Florida,614462,,,,,
2017,Male,25-29,Georgia,303342,,,,,
2017,Male,25-29,Hawaii,37489,,,,,
2017,Male,25-29,Idaho,51519,,,,,
2017,Male,25-29,Illinois,372656,,,,,
2017,Male,25-29,Indiana,201453,,,,,
2017,Male,25-29,Iowa,94872,,,,,
2017,Male,25-29,Kansas,88040,,,,,
2017,Male,25-29,Kentucky,127517,,,,,
2017,Male,25-29,Louisiana,138817,,,,,
2017,Male,25-29,Maine,39976,,,,,
2017,Male,25-29,Maryland,203592,,,,,
2017,Male,25-29,Massachusetts,233999,,,,,
2017,Male,25-29,Michigan,307655,,,,,
2017,Male,25-29,Minnesota,125894,,,,,
2017,Male,25-29,Mississippi,79522,,,,,
2017,Male,25-29,Missouri,184258,,,,,
2017,Male,25-29,Montana,35216,,,,,
2017,Male,25-29,Nebraska,66613,,,,,
2017,Male,25-29,Nevada,85692,,,,,
2017,Male,25-29,New Hampshire,47817,,,,,
2017,Male,25-29,New Jersey,270015,,,,,
2017,Male,25-29,New Mexico,63071,,,,,
2017,Male,25-29,New York,515266,,,,,
2017,Male,25-29,North Carolina,335459,,,,,
2017,Male,25-29,North Dakota,32049,,,,,
2017,Male,25-29,Ohio,318538,,,,,
2017,Male,25-29,Oklahoma,106127,,,,,
2017,Male,25-29,Oregon,122197,,,,,
2017,Male,25-29,Pennsylvania,372748,,,,,
2017,Male,25-29,Rhode Island,33303,,,,,
2017,Male,25-29,South Carolina,162185,,,,,
2017,Male,25-29,South Dakota,26753,,,,,
2017,Male,25-29,Tennessee,234051,,,,,
2017,Male,25-29,Texas,788962,,,,,
2017,Male,25-29,Utah,106644,,,,,
2017,Male,25-29,Vermont,23759,,,,,
2017,Male,25-29,Virginia,251657,,,,,
2017,Male,25-29,Washington,284862,,,,,
2017,Male,25-29,West Virginia,37831,,,,,
2017,Male,25-29,Wisconsin,178504,,,,,
2017,Male,25-29,Wyoming,18787,,,,,
2017,Male,30-34,Alabama,152753,,,,,
2017,Male,30-34,Alaska,28138,,,,,
2017,Male,30-34,Arizona,234537,,,,,
2017,Male,30-34,Arkansas,95826,,,,,
2017,Male,30-34,California,1357420,,,,,
2017,Male,30-34,Colorado,215595,,,,,
2017,Male,30-34,Connecticut,107745,,,,,
2017,Male,30-34,Delaware,32406,,,,,
2017,Male,30-34,District of Columbia,44825,,,,,
2017,Male,30-34,Florida,598469,,,,,
2017,Male,30-34,Georgia,286660,,,,,
2017,Male,30-34,Hawaii,42980,,,,,
2017,Male,30-34,Idaho,51213,,,,,
2017,Male,30-34,Illinois,371523,,,,,
2017,Male,30-34,Indiana,187656,,,,,
2017,Male,30-34,Iowa,92832,,,,,
2017,Male,30-34,Kansas,85862,,,,,
2017,Male,30-34,Kentucky,124641,,,,,
2017,Male,30-34,Louisiana,149157,,,,,
2017,Male,30-34,Maine,39518,,,,,
2017,Male,30-34,Maryland,217015,,,,,
2017,Male,30-34,Massachusetts,223308,,,,,
2017,Male,30-34,Michigan,279201,,,,,
2017,Male,30-34,Minnesota,134318,,,,,
2017,Male,30-34,Mississippi,72666,,,,,
2017,Male,30-34,Missouri,178651,,,,,
2017,Male,30-34,Montana,33987,,,,,
2017,Male,30-34,Nebraska,65220,,,,,
2017,Male,30-34,Nevada,89162,,,,,
2017,Male,30-34,New Hampshire,44293,,,,,
2017,Male,30-34,New Jersey,254294,,,,,
2017,Male,30-34,New Mexico,67133,,,,,
2017,Male,30-34,New York,509546,,,,,
2017,Male,30-34,North Carolina,313964,,,,,
2017,Male,30-34,North Dakota,29833,,,,,
2017,Male,30-34,Ohio,309201,,,,,
2017,Male,30-34,Oklahoma,100571,,,,,
2017,Male,30-34,Oregon,128343,,,,,
2017,Male,30-34,Pennsylvania,364588,,,,,
2017,Male,30-34,Rhode Island,31643,,,,,
2017,Male,30-34,South Carolina,150681,,,,,
2017,Male,30-34,South Dakota,27051,,,,,
2017,Male,30-34,Tennessee,223791,,,,,
2017,Male,30-34,Texas,773253,,,,,
2017,Male,30-34,Utah,101862,,,,,
2017,Male,30-34,Vermont,24649,,,,,
2017,Male,30-34,Virginia,250439,,,,,
2017,Male,30-34,Washington,300063,,,,,
2017,Male,30-34,West Virginia,36238,,,,,
2017,Male,30-34,Wisconsin,180826,,,,,
2017,Male,30-34,Wyoming,19394,,,,,
2017,Male,35-39,Alabama,147268,,,,,
2017,Male,35-39,Alaska,24515,,,,,
2017,Male,35-39,Arizona,237109,,,,,
2017,Male,35-39,Arkansas,94758,,,,,
2017,Male,35-39,California,1271935,,,,,
2017,Male,35-39,Colorado,198815,,,,,
2017,Male,35-39,Connecticut,102407,,,,,
2017,Male,35-39,Delaware,29605,,,,,
2017,Male,35-39,District of Columbia,40934,,,,,
2017,Male,35-39,Florida,576011,,,,,
2017,Male,35-39,Georgia,284435,,,,,
2017,Male,35-39,Hawaii,43652,,,,,
2017,Male,35-39,Idaho,51124,,,,,
2017,Male,35-39,Illinois,370583,,,,,
2017,Male,35-39,Indiana,187546,,,,,
2017,Male,35-39,Iowa,91350,,,,,
2017,Male,35-39,Kansas,83758,,,,,
2017,Male,35-39,Kentucky,127379,,,,,
2017,Male,35-39,Louisiana,148558,,,,,
2017,Male,35-39,Maine,37957,,,,,
2017,Male,35-39,Maryland,205342,,,,,
2017,Male,35-39,Massachusetts,203555,,,,,
2017,Male,35-39,Michigan,267575,,,,,
